,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent
0,USA,"5,530,028",+239,"172,608",+2,"2,904,130",,"2,453,290","17,186","16,695",521,"70,228,171","212,012","331,245,770",North America
1,Brazil,"3,317,832",,"107,297",,"2,404,272",,"806,263","8,318","15,595",504,"13,464,336","63,288","212,747,790",South America
2,India,"2,594,112","+4,904","50,122",+38,"1,862,937","+2,265","681,053","8,944","1,878",36,"29,309,703","21,213","1,381,678,359",Asia
3,Russia,"922,853","+4,969","15,685",+68,"732,968","+3,557","174,200","2,300","6,323",107,"32,500,000","222,691","145,942,457",Europe
4,South Africa,"583,653",,"11,677",,"466,941",,"105,035",539,"9,826",197,"3,378,029","56,869","59,399,953",Africa
5,Peru,"525,803",,"26,075",,"359,781",,"139,947","1,540","15,920",789,"2,738,229","82,907","33,027,616",South America
6,Mexico,"517,714","+6,345","56,543",+635,"351,372","+5,719","109,799","3,653","4,010",438,"1,171,007","9,071","129,099,449",North America
7,Colombia,"456,689",,"14,810",,"274,420",,"167,459","1,493","8,964",291,"2,143,097","42,063","50,949,591",South America
8,Chile,"383,902",,"10,395",,"356,951",,"16,556","1,207","20,061",543,"1,988,709","103,922","19,136,544",South America
9,Spain,"358,843",,"28,617",,,,,617,"7,675",612,"7,472,031","159,805","46,757,092",Europe
10,Iran,"343,203","+2,133","19,639",+147,"297,486","+1,856","26,078","3,881","4,080",233,"2,861,825","34,019","84,124,058",Asia
11,UK,"317,379",,"41,361",,,,,73,"4,672",609,"14,320,621","210,812","67,930,780",Europe
12,Saudi Arabia,"297,315",,"3,369",,"264,487",,"29,459","1,766","8,524",97,"4,202,076","120,475","34,879,260",Asia
13,Argentina,"289,100",,"5,637",,"205,697",,"77,766","1,716","6,389",125,"949,170","20,977","45,247,072",South America
14,Pakistan,"288,717",+670,"6,168",+6,"266,301",+677,"16,248",769,"1,304",28,"2,277,153","10,285","221,401,496",Asia
15,Bangladesh,"276,549","+2,024","3,657",+32,"158,950","+1,315","113,942",,"1,677",22,"1,351,666","8,197","164,891,717",Asia
16,Italy,"253,438",,"35,392",,"203,640",,"14,406",55,"4,192",585,"7,520,610","124,410","60,450,390",Europe
17,Turkey,"248,117",,"5,955",,"229,972",,"12,190",668,"2,938",71,"5,659,286","67,013","84,450,635",Asia
18,Germany,"224,478",,"9,290",,"202,900",,"12,288",224,"2,678",111,"9,265,361","110,542","83,817,831",Europe
19,France,"215,521",,"30,409",,"83,848",,"101,264",367,"3,301",466,"6,000,000","91,895","65,291,847",Europe
20,Iraq,"172,583",,"5,785",,"122,700",,"44,098",590,"4,279",143,"1,263,650","31,334","40,328,274",Asia
21,Philippines,"157,918",,"2,600",,"72,209",,"83,109",461,"1,439",24,"2,003,875","18,257","109,758,588",Asia
22,Indonesia,"139,549","+2,081","6,150",+79,"93,103","+1,782","40,296",,510,22,"1,888,215","6,894","273,879,444",Asia
23,Canada,"121,889",,"9,024",,"108,218",,"4,647","2,296","3,226",239,"4,741,146","125,483","37,783,150",North America
24,Qatar,"115,080",+271,193,+1,"111,794",+289,"3,093",74,"40,986",69,"551,273","196,336","2,807,805",Asia
25,Kazakhstan,"102,696",+409,"1,269",,"81,558",+842,"19,869",221,"5,461",67,"2,252,153","119,769","18,804,188",Asia
26,Ecuador,"100,688",,"6,065",,"79,354",,"15,269",352,"5,696",343,"284,704","16,107","17,675,416",South America
27,Bolivia,"99,146","+1,196","4,003",+64,"35,638",+915,"59,505",71,"8,480",342,"212,019","18,133","11,692,375",South America
28,Egypt,"96,336",,"5,141",,"58,835",,"32,360",41,939,50,"135,000","1,316","102,564,059",Africa
29,Israel,"92,404",+171,679,+5,"68,400",+450,"23,325",396,"10,047",74,"2,071,380","225,209","9,197,590",Asia
30,Ukraine,"91,356","+1,637","2,070",+26,"47,822",+392,"41,464",138,"2,091",47,"1,289,589","29,510","43,699,431",Europe
31,Dominican Republic,"85,545",,"1,438",,"51,356",,"32,751",303,"7,876",132,"317,643","29,245","10,861,321",North America
32,Sweden,"84,294",,"5,783",,,,,31,"8,340",572,"917,036","90,731","10,107,142",Europe
33,Oman,"82,924",,562,,"77,550",,"4,812",158,"16,191",110,"309,212","60,374","5,121,650",Asia
34,Panama,"80,665",,"1,746",,"53,857",,"25,062",156,"18,660",404,"268,180","62,036","4,322,953",North America
35,Belgium,"77,869",+756,"9,935",+11,"17,981",+40,"49,953",82,"6,715",857,"1,983,514","171,052","11,595,976",Europe
36,Kuwait,"76,205",+508,501,+3,"68,135",+616,"7,569",117,"17,812",117,"558,800","130,615","4,278,212",Asia
37,Romania,"70,461","+1,087","2,991",+37,"32,587",+253,"34,883",479,"3,666",156,"1,513,888","78,763","19,220,885",Europe
38,Belarus,"69,424",,607,,"66,747",,"2,070",,"7,347",64,"1,412,589","149,497","9,448,925",Europe
39,UAE,"64,312",+210,364,+3,"57,694",+123,"6,254",,"6,493",37,"5,990,528","604,797","9,905,017",Asia
40,Netherlands,"62,495",,"6,169",,,,,39,"3,646",360,"1,195,475","69,749","17,139,685",Europe
41,Guatemala,"62,313",,"2,355",,"50,183",,"9,775",5,"3,470",131,"200,558","11,170","17,955,060",North America
42,Poland,"56,684",+594,"1,877",+8,"39,130",+277,"15,677",81,"1,498",50,"2,307,735","60,985","37,841,286",Europe
43,Singapore,"55,747",+86,27,,"51,521",,"4,199",,"9,520",5,"1,610,906","275,083","5,856,062",Asia
44,Portugal,"53,981",,"1,775",,"39,585",,"12,621",37,"5,296",174,"1,799,226","176,518","10,192,865",Europe
45,Japan,"53,577",,"1,085",,"38,945",,"13,547",229,424,9,"1,164,029","9,207","126,426,380",Asia
46,Honduras,"49,979",+512,"1,567",+19,"7,255",+127,"41,157",37,"5,036",158,"122,434","12,338","9,923,580",North America
47,Nigeria,"48,770",,974,,"36,290",,"11,506",7,236,5,"347,545","1,681","206,732,316",Africa
48,Bahrain,"46,430",,170,,"42,806",,"3,454",35,"27,182",100,"962,334","563,384","1,708,132",Asia
49,Ghana,"42,210",,231,,"40,147",,"1,832",5,"1,355",7,"424,315","13,622","31,149,465",Africa
50,Kyrgyzstan,"41,856",+211,"1,495",+2,"34,276",+325,"6,085",24,"6,403",229,"267,718","40,953","6,537,128",Asia
51,Armenia,"41,663",+168,818,+1,"34,584",+100,"6,261",,"14,057",276,"185,310","62,521","2,963,947",Asia
52,Morocco,"41,017",,632,,"28,566",,"11,819",31,"1,110",17,"1,583,234","42,832","36,964,114",Africa
53,Algeria,"38,133",,"1,360",,"26,644",,"10,129",44,868,31,,,"43,945,575",Africa
54,Switzerland,"38,124",+200,"1,991",,"33,200",,"2,933",26,"4,401",230,"881,683","101,782","8,662,507",Europe
55,Afghanistan,"37,596",+45,"1,375",+5,"27,166",,"9,055",31,963,35,"98,718","2,529","39,031,058",Asia
56,Uzbekistan,"34,701",+173,226,+1,"30,043",+715,"4,432",410,"1,035",7,"1,377,915","41,097","33,527,959",Asia
57,Azerbaijan,"34,107",,506,,"31,697",,"1,904",,"3,360",50,"826,043","81,380","10,150,488",Asia
58,Venezuela,"32,607",,276,,"21,747",,"10,584",85,"1,147",10,"1,640,528","57,713","28,425,527",South America
59,Moldova,"29,905",,895,,"20,908",,"8,102",362,"7,416",222,"128,076","31,759","4,032,753",Europe
60,Kenya,"29,849",,472,,"15,970",,"13,407",44,554,9,"387,670","7,191","53,910,353",Africa
61,Serbia,"29,471",,670,,"26,440",,"2,361",75,"3,375",77,"798,009","91,381","8,732,803",Europe
62,Ethiopia,"28,894",,509,,"12,037",,"16,348",195,251,4,"589,694","5,115","115,293,972",Africa
63,Costa Rica,"27,737",,291,,"9,010",,"18,436",104,"5,439",57,"117,914","23,121","5,099,873",North America
64,Ireland,"27,191",,"1,774",,"23,364",,"2,053",8,"5,499",359,"709,689","143,529","4,944,556",Europe
65,Nepal,"26,660",+641,104,+2,"17,335",+134,"9,221",,913,4,"830,309","28,436","29,199,389",Asia
66,Austria,"23,370",+191,728,,"20,681",+54,"1,961",19,"2,593",81,"1,018,490","113,004","9,012,838",Europe
67,Australia,"23,287",+252,396,+17,"13,634",,"9,257",47,912,16,"5,292,922","207,272","25,536,137",Australia/Oceania
68,El Salvador,"22,619",,612,+9,"10,647",+29,"11,360",443,"3,485",94,"275,993","42,524","6,490,317",North America
69,Czechia,"19,891",,395,,"13,763",,"5,733",24,"1,857",37,"791,082","73,853","10,711,506",Europe
70,Cameroon,"18,469",,401,,"16,540",,"1,528",30,694,15,"149,000","5,597","26,622,486",Africa
71,Ivory Coast,"16,993",,108,,"13,759",,"3,126",,642,4,"112,931","4,269","26,454,060",Africa
72,Palestine,"16,534",+381,110,+2,"9,838",+450,"6,586",,"3,232",22,"214,862","42,004","5,115,264",Asia
73,Bosnia and Herzegovina,"15,801",,471,,"9,619",,"5,711",,"4,820",144,"161,008","49,115","3,278,151",Europe
74,Denmark,"15,483",,621,,"13,275",,"1,587",1,"2,672",107,"1,903,899","328,554","5,794,779",Europe
75,S. Korea,"15,318",+279,305,,"13,910",+9,"1,103",13,299,6,"1,681,787","32,799","51,274,814",Asia
76,Bulgaria,"14,333",,495,,"9,161",,"4,677",55,"2,065",71,"333,530","48,048","6,941,575",Europe
77,Madagascar,"13,827",+103,170,+4,"12,424",+192,"1,233",93,498,6,"52,321","1,884","27,773,270",Africa
78,North Macedonia,"12,653",,539,,"9,123",,"2,991",4,"6,073",259,"125,128","60,061","2,083,363",Europe
79,Sudan,"12,314",+103,798,+2,"6,350",+10,"5,166",,280,18,401,9,"43,968,778",Africa
80,Senegal,"12,032",,251,,"7,637",,"4,144",57,716,15,"129,392","7,704","16,794,764",Africa
81,Norway,"9,965",,261,,"8,857",,847,2,"1,836",48,"530,446","97,751","5,426,512",Europe
82,DRC,"9,676",+38,240,+1,"8,705",+108,731,,108,3,,,"89,869,440",Africa
83,Paraguay,"9,381",,127,,"5,841",,"3,413",40,"1,313",18,"151,427","21,199","7,143,245",South America
84,Malaysia,"9,200",+25,125,,"8,859",+28,216,7,284,4,"1,114,246","34,373","32,416,569",Asia
85,Zambia,"9,186",,260,,"8,065",,861,,498,14,"98,766","5,355","18,442,838",Africa
86,French Guiana,"8,588",,53,,"7,893",,642,15,"28,667",177,"46,077","153,807","299,576",South America
87,Lebanon,"8,442",,97,,"2,650",,"5,695",52,"1,238",14,"408,909","59,944","6,821,472",Asia
88,Guinea,"8,343",,50,,"7,210",,"1,083",24,633,4,"14,407","1,094","13,173,696",Africa
89,Gabon,"8,225",,51,,"6,277",,"1,897",1,"3,685",23,"100,298","44,939","2,231,858",Africa
90,Tajikistan,"8,029",,64,,"6,815",,"1,150",,840,7,,,"9,562,749",Asia
91,Haiti,"7,831",,196,,"5,235",,"2,400",,686,17,"18,933","1,658","11,419,521",North America
92,Libya,"7,738",,145,,894,,"6,699",,"1,124",21,"75,827","11,017","6,882,651",Africa
93,Finland,"7,731",+11,333,,"7,050",,348,,"1,395",60,"467,080","84,283","5,541,815",Europe
94,Luxembourg,"7,439",,123,,"6,500",,816,3,"11,861",196,"682,119","1,087,557","627,203",Europe
95,Albania,"7,260",,225,,"3,746",,"3,289",16,"2,523",78,"45,402","15,779","2,877,393",Europe
96,Greece,"6,858",,226,,"3,804",,"2,828",23,658,22,"715,503","68,690","10,416,427",Europe
97,Mauritania,"6,693",,157,,"5,928",,608,3,"1,435",34,"58,147","12,468","4,663,743",Africa
98,Croatia,"6,420",,165,,"5,193",,"1,062",10,"1,565",40,"136,280","33,223","4,101,957",Europe
99,Maldives,"5,679",,22,,"3,208",,"2,449",12,"10,484",41,"94,865","175,130","541,683",Asia
100,Djibouti,"5,367",,59,,"5,181",,127,,"5,423",60,"62,731","63,381","989,740",Africa
101,Zimbabwe,"5,176",,130,,"2,047",,"2,999",,348,9,"149,748","10,058","14,889,126",Africa
102,Malawi,"5,026",,157,,"2,623",,"2,246",4,262,8,"38,798","2,022","19,187,034",Africa
103,Hungary,"4,916",+39,608,+1,"3,623",+17,685,6,509,63,"378,608","39,205","9,657,184",Europe
104,Equatorial Guinea,"4,821",,83,,"2,182",,"2,556",,"3,424",59,"44,356","31,500","1,408,141",Africa
105,CAR,"4,652",,61,,"1,728",,"2,863",2,961,13,"29,930","6,184","4,839,820",Africa
106,Hong Kong,"4,481",+74,69,+1,"3,548",+60,864,27,597,9,"780,415","103,992","7,504,535",Asia
107,Nicaragua,"4,115",,128,,"2,913",,"1,074",,620,19,,,"6,634,200",North America
108,Montenegro,"3,960",,75,,"2,830",,"1,055",,"6,305",119,"41,951","66,793","628,076",Europe
109,Namibia,"3,907",,35,,"2,352",,"1,520",14,"1,534",14,"40,397","15,864","2,546,397",Africa
110,Eswatini,"3,745",,69,,"2,268",,"1,408",10,"3,224",59,"28,380","24,431","1,161,643",Africa
111,Congo,"3,745",,60,,"1,625",,"2,060",,677,11,,,"5,533,856",Africa
112,Thailand,"3,377",+1,58,,"3,194",+1,125,1,48,0.8,"749,213","10,730","69,822,189",Asia
113,Cuba,"3,292",,88,,"2,568",,636,3,291,8,"324,043","28,611","11,325,729",North America
114,Somalia,"3,250",,93,,"2,268",,889,2,204,6,,,"15,943,958",Africa
115,Cabo Verde,"3,163",,34,,"2,302",,827,,"5,681",61,"61,633","110,706","556,729",Africa
116,Mayotte,"3,119",,39,,"2,940",,140,1,"11,401",143,"13,000","47,518","273,581",Africa
117,Suriname,"2,961",,42,,"1,990",,929,15,"5,042",72,"4,449","7,576","587,283",South America
118,Slovakia,"2,902",+47,31,,"1,969",,902,6,532,6,"294,838","54,000","5,459,980",Europe
119,Sri Lanka,"2,890",,11,,"2,666",,213,1,135,0.5,"166,737","7,783","21,424,565",Asia
120,Mozambique,"2,791",,19,,"1,136",,"1,636",,89,0.6,"76,614","2,443","31,355,578",Africa
121,Mali,"2,614",,125,,"1,986",,503,,129,6,"31,412","1,546","20,317,302",Africa
122,South Sudan,"2,488",,47,,"1,175",,"1,266",,222,4,"12,044","1,074","11,209,798",Africa
123,Slovenia,"2,416",+15,129,,"2,051",+9,236,2,"1,162",62,"143,295","68,926","2,078,975",Europe
124,Lithuania,"2,416",+30,81,,"1,704",,631,6,889,30,"578,700","212,977","2,717,194",Europe
125,Rwanda,"2,352",,8,,"1,631",,713,,181,0.6,"329,474","25,365","12,989,465",Africa
126,Estonia,"2,190",+6,63,,"1,976",,151,,"1,651",47,"134,552","101,422","1,326,649",Europe
127,Guinea-Bissau,"2,117",,33,,"1,015",,"1,069",5,"1,073",17,"1,500",760,"1,973,424",Africa
128,Benin,"2,063",,39,,"1,690",,334,,170,3,"107,057","8,804","12,159,811",Africa
129,Tunisia,"2,023",,54,,"1,327",,642,9,171,5,"111,517","9,424","11,833,840",Africa
130,Iceland,"1,999",,10,,"1,870",,119,1,"5,853",29,"177,586","519,987","341,520",Europe
131,Sierra Leone,"1,954",,69,,"1,505",,380,,244,9,,,"7,996,165",Africa
132,Angola,"1,879",,86,,628,,"1,165",20,57,3,"64,747","1,963","32,981,559",Africa
133,Yemen,"1,858",,528,,"1,013",,317,,62,18,120,4,"29,903,087",Asia
134,Gambia,"1,689",,54,,347,,"1,288",,697,22,"6,312","2,603","2,424,430",Africa
135,New Zealand,"1,622",+13,22,,"1,531",,69,3,324,4,"571,942","114,340","5,002,100",Australia/Oceania
136,Syria,"1,593",,60,,408,,"1,125",,91,3,,,"17,550,085",Asia
137,Uruguay,"1,434",,38,,"1,194",,202,4,413,11,"144,228","41,501","3,475,251",South America
138,Uganda,"1,434",,13,,"1,142",,279,,31,0.3,"312,792","6,814","45,903,545",Africa
139,Malta,"1,348",,9,,782,,557,3,"3,052",20,"154,522","349,841","441,692",Europe
140,Jordan,"1,339",,11,,"1,229",,99,3,131,1,"686,351","67,186","10,215,627",Asia
141,Georgia,"1,336",+15,17,,"1,088",,231,,335,4,"301,183","75,519","3,988,180",Asia
142,Cyprus,"1,332",,20,,870,,442,5,"1,102",17,"239,630","198,295","1,208,454",Asia
143,Latvia,"1,322",+7,32,,"1,078",,212,,702,17,"225,636","119,801","1,883,427",Europe
144,Liberia,"1,257",,82,,788,,387,,248,16,,,"5,071,549",Africa
145,Bahamas,"1,252",,17,,160,,"1,075",1,"3,180",43,"7,533","19,133","393,708",North America
146,Burkina Faso,"1,240",,54,,"1,006",,180,,59,3,,,"20,968,999",Africa
147,Botswana,"1,214",,3,,120,,"1,091",1,515,1,"87,280","37,026","2,357,245",Africa
148,Niger,"1,165",,69,,"1,077",,19,,48,3,"9,052",372,"24,303,111",Africa
149,Togo,"1,130",,27,,836,,267,2,136,3,"52,286","6,298","8,301,366",Africa
150,Jamaica,"1,106",+24,14,,761,,331,2,373,5,"46,227","15,602","2,962,795",North America
151,Aruba,"1,048",,4,,193,,851,,"9,811",37,"14,047","131,498","106,823",North America
152,Andorra,989,,53,,863,,73,1,"12,797",686,"3,750","48,524","77,281",Europe
153,Chad,952,,76,,864,,12,,58,5,,,"16,479,603",Africa
154,Vietnam,951,,24,+1,456,+9,471,,10,0.2,"621,823","6,381","97,446,985",Asia
155,Lesotho,903,,25,,271,,607,,421,12,"11,097","5,175","2,144,360",Africa
156,Sao Tome and Principe,885,,15,,815,,55,,"4,029",68,"3,261","14,847","219,644",Africa
157,Réunion,816,,5,,657,,154,4,911,6,"35,419","39,525","896,108",Africa
158,Diamond Princess,712,,13,,651,,48,4,,,,,,
159,San Marino,699,,42,,657,,0,,"20,595","1,237","6,068","178,786","33,940",Europe
160,Guyana,674,,22,,310,,342,7,856,28,"5,933","7,538","787,029",South America
161,Channel Islands,607,,47,,545,,15,,"3,487",270,"52,055","299,062","174,061",Europe
162,Tanzania,509,,21,,183,,305,7,8,0.4,,,"59,928,389",Africa
163,Trinidad and Tobago,497,,10,,139,,348,3,355,7,"13,398","9,570","1,400,061",North America
164,Taiwan,484,+2,7,,450,,27,,20,0.3,"84,446","3,545","23,822,255",Asia
165,Belize,452,+64,3,,35,,414,3,"1,134",8,"5,117","12,841","398,489",North America
166,Guadeloupe,446,,14,,289,,143,2,"1,115",35,"22,696","56,721","400,133",North America
167,Burundi,413,+1,1,,315,,97,,35,0.08,"17,306","1,451","11,930,962",Africa
168,Comoros,405,+2,7,,379,,19,,465,8,,,"871,783",Africa
169,Myanmar,374,,6,,324,,44,,7,0.1,"134,035","2,461","54,455,344",Asia
170,Faeroe Islands,370,,,,225,,145,,"7,569",,"70,650","1,445,199","48,886",Europe
171,Mauritius,346,,10,,334,,2,,272,8,"205,285","161,383","1,272,036",Africa
172,Isle of Man,336,,24,,312,,0,,"3,949",282,"9,066","106,547","85,089",Europe
173,Martinique,336,,16,,98,,222,2,895,43,"12,227","32,586","375,228",North America
174,Papua New Guinea,323,+52,3,,110,+32,210,,36,0.3,"13,361","1,490","8,967,183",Australia/Oceania
175,Sint Maarten,300,+31,17,,107,+5,176,3,"6,987",396,"1,672","38,942","42,936",North America
176,Turks and Caicos,298,+24,2,,55,+1,241,3,"7,684",52,"1,840","47,446","38,781",North America
177,Mongolia,298,,,,276,+4,22,1,91,,"43,785","13,330","3,284,643",Asia
178,Eritrea,285,,,,248,,37,,80,,,,"3,552,382",Africa
179,Cambodia,273,,,,238,+9,35,1,16,,"79,860","4,769","16,747,066",Asia
180,Gibraltar,215,+6,,,190,,25,,"6,382",,"27,328","811,161","33,690",Europe
181,Cayman Islands,203,,1,,202,,0,,"3,084",15,"32,468","493,307","65,817",North America
182,French Polynesia,166,,,,64,,102,1,591,,"6,525","23,211","281,111",Australia/Oceania
183,Bermuda,162,,9,,147,,6,,"2,602",145,"32,415","520,740","62,248",North America
184,Barbados,150,,7,,121,,22,,522,24,"14,217","49,464","287,420",North America
185,Monaco,146,,4,,114,,28,4,"3,717",102,"38,209","972,809","39,277",Europe
186,Brunei,142,,3,,138,,1,,324,7,"43,312","98,887","437,996",Asia
187,Bhutan,138,+5,,,102,,36,,179,,"59,440","76,930","772,651",Asia
188,Seychelles,127,,,,126,,1,,"1,290",,,,"98,423",Africa
189,Saint Martin,109,,4,,49,,56,1,"2,813",103,"2,321","59,905","38,745",North America
190,Antigua and Barbuda,93,,3,,83,,7,1,949,31,"1,780","18,158","98,030",North America
191,Liechtenstein,91,,1,,87,,3,,"2,386",26,900,"23,596","38,142",Europe
192,St. Vincent Grenadines,57,,,,55,,2,,514,,"2,649","23,868","110,985",North America
193,Macao,46,,,,46,,0,,71,,"4,071","6,259","650,411",Asia
194,Curaçao,34,+1,1,,31,,2,,207,6,"1,080","6,578","164,178",North America
195,Fiji,28,,1,,20,,7,,31,1,"6,693","7,459","897,254",Australia/Oceania
196,Saint Lucia,25,,,,25,,0,,136,,"4,465","24,302","183,733",North America
197,Timor-Leste,25,,,,24,,1,,19,,"4,238","3,207","1,321,431",Asia
198,Grenada,24,,,,23,,1,,213,,"6,252","55,529","112,589",North America
199,New Caledonia,23,,,,22,,1,,80,,"11,265","39,411","285,837",Australia/Oceania
200,Laos,22,,,,19,,3,,3,,"33,538","4,602","7,288,348",Asia
201,Dominica,18,,,,18,,0,,250,,"1,005","13,957","72,009",North America
202,Saint Kitts and Nevis,17,,,,17,,0,,319,,"1,312","24,640","53,246",North America
203,Greenland,14,,,,14,,0,,247,,"6,296","110,878","56,783",North America
204,Montserrat,13,,1,,12,,0,,"2,604",200,61,"12,220","4,992",North America
205,Caribbean Netherlands,13,,,,7,,6,,495,,424,"16,151","26,253",North America
206,Falkland Islands,13,,,,13,,0,,"3,723",,"2,256","646,048","3,492",South America
207,St. Barth,13,,,,9,,4,,"1,316",,"1,699","171,946","9,881",North America
208,Vatican City,12,,,,12,,0,,"14,981",,,,801,Europe
209,Western Sahara,10,,1,,8,,1,,17,2,,,"599,044",Africa
210,MS Zaandam,9,,2,,,,7,,,,,,,
211,British Virgin Islands,9,,1,,7,,1,,297,33,"1,522","50,304","30,256",North America
212,Saint Pierre Miquelon,4,,,,1,,3,,691,,,,"5,790",North America
213,Anguilla,3,,,,3,,0,,200,,537,"35,752","15,020",North America
214,China,"84,827",+19,"4,634",,"79,575",+56,618,34,59,3,"90,410,000","62,814","1,439,323,776",Asia
