scrap_date,scrap_time,update_time_GMT,Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical
2020-08-02,20:00:00,,6,Oceania,19709,,233,,12074,,7402,46
2020-08-08,20:00:00,,6,Oceania,22574,2865.0,304,71.0,12999,925.0,9271,53
2020-08-12,20:00:00,,6,Oceania,24073,1499.0,378,74.0,14092,1093.0,9603,52
2020-08-16,20:00:00,,6,Oceania,25449,1376.0,422,44.0,15381,1289.0,9646,51
2020-08-17,20:00:00,,6,Oceania,25740,291.0,447,25.0,16286,905.0,9007,57
2020-08-18,20:00:00,,6,Oceania,26011,271.0,464,17.0,16680,394.0,8867,59
2020-08-19,20:00:00,,6,Oceania,26251,240.0,476,12.0,16997,317.0,8778,59
2020-08-20,17:53:00,,6,Oceania,26511,260.0,489,13.0,19691,2694.0,6331,59
2020-08-23,21:09:00,,6,Oceania,27196,685.0,529,40.0,21162,1471.0,5505,50
2020-08-24,17:10:00,,6,Oceania,27349,153.0,544,15.0,21567,405.0,5238,50
2020-08-25,23:00:00,,6,Oceania,27585,236.0,552,8.0,21568,1.0,5465,53
2020-08-26,22:59:00,,6,Oceania,27741,156.0,576,24.0,22065,497.0,5100,58
2020-08-27,23:00:00,,6,Oceania,27914,173.0,600,24.0,22400,335.0,4914,48
2020-08-28,23:01:00,,6,Oceania,28081,167.0,612,12.0,22674,274.0,4795,49
2020-08-29,12:29:00,,6,Oceania,28260,179.0,629,17.0,22904,230.0,4727,46
2020-08-30,23:00:00,,6,Oceania,28391,131.0,640,11.0,23166,262.0,4585,44
2020-08-31,18:58:00,,6,Oceania,28476,85.0,681,41.0,23415,249.0,4380,41
2020-09-01,23:00:00,,6,Oceania,28654,178.0,686,5.0,23584,169.0,4384,39
2020-09-02,23:01:00,,6,Oceania,28765,111.0,692,6.0,23779,195.0,4294,35
2020-09-03,23:01:00,,6,Oceania,28953,188.0,707,15.0,24148,369.0,4098,38
2020-09-04,07:01:00,,6,Oceania,29050,97.0,766,59.0,24158,10.0,4126,38
2020-09-05,23:31:00,,6,Oceania,29213,163.0,779,13.0,24600,442.0,3834,34
2020-09-06,18:30:00,,6,Oceania,29289,76.0,784,5.0,24733,133.0,3772,35
2020-09-07,23:39:00,,6,Oceania,29346,57.0,793,9.0,24876,143.0,3677,41
2020-09-08,22:10:00,,6,Oceania,29489,143.0,801,8.0,25168,292.0,3520,38
2020-09-09,22:01:00,,6,Oceania,29587,98.0,812,11.0,25311,143.0,3464,35
2020-09-10,22:01:00,,6,Oceania,29665,78.0,819,7.0,25493,182.0,3353,31
2020-09-11,22:00:00,,6,Oceania,29780,115.0,828,9.0,25729,236.0,3223,26
2020-09-12,22:22:00,,6,Oceania,29921,141.0,836,8.0,25916,187.0,3169,23
2020-09-13,22:01:00,,6,Oceania,29967,46.0,843,7.0,26062,146.0,3062,25
2020-09-14,22:04:00,,6,Oceania,30012,45.0,850,7.0,26180,118.0,2982,26
2020-09-15,21:00:00,,6,Oceania,30208,196.0,850,0.0,26300,120.0,3058,24
2020-09-16,21:01:00,,6,Oceania,30254,46.0,859,9.0,26378,78.0,3017,23
2020-09-18,20:01:00,,6,Oceania,30343,89.0,872,13.0,26525,147.0,2946,23
2020-09-19,21:00:00,,6,Oceania,30479,136.0,879,7.0,26931,406.0,2669,21
2020-09-20,22:31:00,,6,Oceania,30559,80.0,885,6.0,27093,162.0,2581,18
2020-09-21,21:01:00,,6,Oceania,30573,14.0,887,2.0,27103,10.0,2583,16
2020-09-22,21:01:00,,6,Oceania,30726,153.0,890,3.0,27403,300.0,2433,19
2020-09-23,19:58:00,,6,Oceania,30777,51.0,895,5.0,27609,206.0,2273,19
2020-09-24,21:00:00,,6,Oceania,30865,88.0,900,5.0,27992,383.0,1973,19
2020-09-25,21:00:00,,6,Oceania,30887,22.0,908,8.0,28074,82.0,1905,19
2020-09-26,21:00:00,,6,Oceania,31017,130.0,910,2.0,28221,147.0,1886,23
2020-09-27,22:45:00,,6,Oceania,31043,26.0,912,2.0,28227,6.0,1904,22
2020-09-28,22:00:00,,6,Oceania,31047,4.0,915,3.0,28334,107.0,1798,21
2020-09-29,21:35:00,,6,Oceania,31209,162.0,923,8.0,28432,98.0,1854,21
2020-09-30,22:00:00,,6,Oceania,31235,26.0,927,4.0,28523,91.0,1785,22
2020-10-01,21:31:00,,6,Oceania,31394,159.0,929,2.0,28632,109.0,1833,22
2020-10-02,22:36:00,,6,Oceania,31407,13.0,931,2.0,28646,14.0,1830,18
2020-10-03,22:24:00,,6,Oceania,31534,127.0,935,4.0,28770,124.0,1829,18
2020-10-04,21:01:00,,6,Oceania,31554,20.0,936,1.0,28791,21.0,1827,18
2020-10-05,22:13:00,,6,Oceania,31568,14.0,936,0.0,28819,28.0,1813,18
2020-10-06,23:01:00,,6,Oceania,31860,292.0,938,2.0,29033,214.0,1889,13
2020-10-07,23:01:00,,6,Oceania,31872,12.0,940,2.0,29087,54.0,1845,15
2020-10-08,23:59:00,,6,Oceania,32097,225.0,941,1.0,29183,96.0,1973,12
2020-10-09,23:00:00,,6,Oceania,32124,27.0,941,0.0,29216,33.0,1967,13
2020-10-10,23:00:00,,6,Oceania,32477,353.0,941,0.0,29394,178.0,2142,10
2020-10-12,23:10:00,,6,Oceania,32536,59.0,942,1.0,29410,16.0,2184,9
2020-10-13,23:01:00,,6,Oceania,33065,529.0,944,2.0,29575,165.0,2546,10
2020-10-14,23:01:00,,6,Oceania,33101,36.0,949,5.0,29582,7.0,2570,10
2020-10-15,14:09:00,11:06:00,6,Oceania,33446,345.0,951,2.0,29937,355.0,2558,10
2020-10-16,22:08:00,19:06:00,6,Oceania,33464,18.0,951,0.0,29952,15.0,2561,9
2020-10-17,23:01:00,19:58:00,6,Oceania,33707,243.0,952,1.0,30357,405.0,2398,10
2020-10-18,22:05:00,19:03:00,6,Oceania,33718,11.0,952,0.0,30368,11.0,2398,11
2020-10-19,22:05:00,18:59:00,6,Oceania,33726,8.0,953,1.0,30373,5.0,2400,11
2020-10-20,22:05:00,19:04:00,6,Oceania,34508,782.0,955,2.0,30755,382.0,2798,21
2020-10-21,22:05:00,19:03:00,6,Oceania,34549,41.0,955,0.0,30778,23.0,2816,21
2020-10-22,22:05:00,19:04:00,6,Oceania,35188,639.0,958,3.0,31128,350.0,3102,18
2020-10-23,22:05:00,19:02:00,6,Oceania,35216,28.0,958,0.0,31143,15.0,3115,18
2020-10-24,23:41:00,20:40:00,6,Oceania,35878,662.0,959,1.0,31245,102.0,3674,17
2020-10-25,23:00:00,20:58:00,6,Oceania,35893,15.0,959,0.0,31250,5.0,3684,17
2020-10-26,23:00:00,20:56:00,6,Oceania,35980,87.0,959,0.0,31332,82.0,3689,17
2020-10-27,23:00:00,20:58:00,6,Oceania,36570,590.0,965,6.0,31759,427.0,3846,20
2020-10-28,23:00:00,20:58:00,6,Oceania,36585,15.0,967,2.0,31776,17.0,3842,20
2020-10-29,23:00:00,20:57:00,6,Oceania,37437,852.0,970,3.0,32541,765.0,3926,25
2020-10-30,23:00:00,20:58:00,6,Oceania,37454,17.0,970,0.0,32578,37.0,3906,25
2020-10-31,23:00:00,20:59:00,6,Oceania,37471,17.0,970,0.0,32662,84.0,3839,25
2020-11-01,23:00:00,20:59:00,6,Oceania,37478,7.0,970,0.0,32674,12.0,3834,25
